max_depth,min_samples_split,min_samples_leaf,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
5,10,2,0.42643587726199844,0.45236250968241676,0.442911877394636,0.45346062052505964,0.4670846394984326,0.44845110487250867,0.013438424276006639,186,0.2835545539855957,0.041959369515359696,0.041614627838134764,0.008306035698464472
5,20,1,0.42643587726199844,0.4499612102404965,0.442911877394636,0.450996015936255,0.4670846394984326,0.4474779240663637,0.0131649799588701,192,0.31065664291381834,0.08551128863906912,0.05146608352661133,0.016032137989999175
5,20,2,0.42643587726199844,0.4499612102404965,0.442911877394636,0.450996015936255,0.4670846394984326,0.4474779240663637,0.0131649799588701,192,0.2613940715789795,0.03386043734694124,0.042066001892089845,0.009034986520538643
5,50,1,0.42643587726199844,0.4499612102404965,0.442911877394636,0.450996015936255,0.4670846394984326,0.4474779240663637,0.0131649799588701,192,0.29778251647949217,0.062898650596257,0.04632349014282226,0.0064733346763241936
5,50,2,0.42643587726199844,0.4499612102404965,0.442911877394636,0.450996015936255,0.4670846394984326,0.4474779240663637,0.0131649799588701,192,0.3195332527160645,0.05070534497229237,0.041609668731689455,0.01349357550699574
5,50,5,0.42643587726199844,0.4499612102404965,0.442911877394636,0.450996015936255,0.4670846394984326,0.4474779240663637,0.0131649799588701,192,0.29174079895019533,0.048742534858902696,0.03670005798339844,0.007366827335575869
5,2,5,0.42643587726199844,0.4535603715170279,0.44171779141104295,0.45222929936305734,0.46226415094339623,0.4472414980993046,0.012279019628567197,197,0.35634589195251465,0.09509124000466906,0.03468780517578125,0.012338958384075378
5,5,5,0.42643587726199844,0.4535603715170279,0.44171779141104295,0.45222929936305734,0.46226415094339623,0.4472414980993046,0.012279019628567197,197,0.27916913032531737,0.032519727413700454,0.039914703369140624,0.004450541474680415
5,10,5,0.42643587726199844,0.4535603715170279,0.44171779141104295,0.45222929936305734,0.46226415094339623,0.4472414980993046,0.012279019628567197,197,0.3345513820648193,0.037091684312098396,0.047434329986572266,0.015137175706287666
5,50,10,0.42586750788643535,0.4499612102404965,0.442911877394636,0.450996015936255,0.4662480376766091,0.44719692982688636,0.013102098506988579,200,0.2960536003112793,0.06226505160316753,0.040845489501953124,0.008692952934794414
5,2,10,0.42586750788643535,0.4499612102404965,0.44171779141104295,0.450996015936255,0.4662480376766091,0.4469581126301677,0.013188624201180011,201,0.29792938232421873,0.042077684952207595,0.041818094253540036,0.011430309089758223
5,5,10,0.42586750788643535,0.4499612102404965,0.44171779141104295,0.450996015936255,0.4662480376766091,0.4469581126301677,0.013188624201180011,201,0.3436326026916504,0.0997583806035214,0.04396896362304688,0.01686207873758107
5,10,10,0.42586750788643535,0.4499612102404965,0.44171779141104295,0.450996015936255,0.4662480376766091,0.4469581126301677,0.013188624201180011,201,0.33118839263916017,0.0576901358227126,0.054178619384765626,0.015056995517115966
5,20,10,0.42586750788643535,0.4499612102404965,0.44171779141104295,0.450996015936255,0.4662480376766091,0.4469581126301677,0.013188624201180011,201,0.3361788749694824,0.048413986534725735,0.06385416984558105,0.013150094693650489
5,20,5,0.42643587726199844,0.4499612102404965,0.44171779141104295,0.450996015936255,0.46226415094339623,0.4462750091586378,0.01188181826518617,205,0.30431599617004396,0.05703481964273122,0.04408950805664062,0.00964254612487792
5,100,1,0.4227129337539432,0.4559505409582689,0.4310077519379845,0.45166402535657685,0.46755277560594216,0.44577760552254314,0.01650711510049807,206,0.2780744552612305,0.03511986901994117,0.04197812080383301,0.009281866984215388
5,100,2,0.4227129337539432,0.4559505409582689,0.4310077519379845,0.45166402535657685,0.46755277560594216,0.44577760552254314,0.01650711510049807,206,0.3068608283996582,0.050752080104380565,0.04128727912902832,0.010594149468687503
5,100,5,0.4227129337539432,0.4559505409582689,0.4310077519379845,0.45166402535657685,0.46755277560594216,0.44577760552254314,0.01650711510049807,206,0.3496047019958496,0.07247982795690386,0.0465601921081543,0.015573264835027436
5,100,10,0.42213438735177866,0.4559505409582689,0.4310077519379845,0.45166402535657685,0.4667188723570869,0.4454951155923392,0.01645251681691192,209,0.37010464668273924,0.0944971732650001,0.04332857131958008,0.027041630743554704
5,100,20,0.4224683544303797,0.4579799537393986,0.4138473642800944,0.45166402535657685,0.46551724137931033,0.442295387837152,0.020373672994636542,210,0.33660354614257815,0.05769168510041515,0.046958208084106445,0.021255664514423813
5,2,50,0.4251968503937008,0.44875776397515527,0.4138473642800944,0.44745222929936307,0.46442533229085226,0.4399359080478332,0.018066012639020593,211,0.28664278984069824,0.045119498639078326,0.051821660995483396,0.005185445935259948
5,5,50,0.4251968503937008,0.44875776397515527,0.4138473642800944,0.44745222929936307,0.46442533229085226,0.4399359080478332,0.018066012639020593,211,0.3810869693756104,0.09663219637472106,0.06042928695678711,0.02632545850196927
5,10,50,0.4251968503937008,0.44875776397515527,0.4138473642800944,0.44745222929936307,0.46442533229085226,0.4399359080478332,0.018066012639020593,211,0.32637777328491213,0.06475084759408838,0.04229903221130371,0.010697233597461806
5,20,50,0.4251968503937008,0.44875776397515527,0.4138473642800944,0.44745222929936307,0.46442533229085226,0.4399359080478332,0.018066012639020593,211,0.365513277053833,0.052845922216824506,0.04156656265258789,0.015476751717054597
5,50,50,0.4251968503937008,0.44875776397515527,0.4138473642800944,0.44745222929936307,0.46442533229085226,0.4399359080478332,0.018066012639020593,211,0.29145469665527346,0.0469178676204201,0.04623293876647949,0.006924516152944553
5,100,50,0.4251968503937008,0.44875776397515527,0.4138473642800944,0.44745222929936307,0.46442533229085226,0.4399359080478332,0.018066012639020593,211,0.33033366203308107,0.05562806211426163,0.05729970932006836,0.008438608817866969
